"extid","qty","price"
"442244","1","0.59"
"442903","1","1.35"
"444534","1","2.15"
"444754","1","7.99"
"445289","1","4.5"
"445960","1","2.6"
"447106","1","11.49"
"447557","1","1.89"
"447579","1","2.25"
"447601","1","1.39"
"448060","1","0.57"
"448082","1","0.57"
"448752","1","0.59"
"448763","1","0.55"
"448774","1","0.59"
"448785","1","3.39"
"448796","1","3.39"
"448817","1","3.39"
"448828","1","0.95"
"448839","1","0.95"
"448840","1","0.95"
"448851","1","0.59"
"448862","1","0.59"
"448873","1","0.59"
"448884","1","0.59"
"448895","1","0.59"
"448905","1","0.55"
"450023","1","3.69"
"450111","1","0.01"
"450144","1","1.89"
"450418","1","2.79"
"450430","1","2.79"
"450539","1","0.97"
"450540","1","0.97"
"450562","1","0.97"
"450573","1","0.97"
"450892","1","4.99"
"450902","1","4.99"
"450991","1","4.65"
"451437","1","0.99"
"451448","1","0.99"
"451460","1","3.99"
"451691","1","5.29"
"452027","1","1.25"
"453002","1","8.25"
"453013","1","5.25"
"453046","1","5.25"
"453068","1","2.99"
"453486","1","4.64"
"453529","1","2.36"
"453541","1","4.67"
"454933","1","1.15"
"455260","1","3.42"
"455709","1","0.59"
"455864","1","0.99"
"455886","1","0.15"
"456069","1","2.43"
"456267","1","4.74"
"456322","1","3.57"
"456432","1","0.75"
"456443","1","0.75"
"456465","1","0.75"
"456959","1","1.15"
"456960","1","1.15"
"456971","1","1.15"
"456982","1","1.15"
"457440","1","1.09"
"457637","1","1.39"
"458393","1","3.45"
"459181","1","3.49"
"459192","1","3.49"
"459796","1","0.89"
"460060","1","2.39"
"460071","1","2.39"
"460158","1","2.53"
"460257","1","4.99"
"460268","1","4.99"
"460279","1","5.99"
"460312","1","5.99"
"460345","1","5.99"
"460356","1","5.99"
"460532","1","2.25"
"460994","1","0.95"
"461573","1","2.69"
"461595","1","2.19"
"461616","1","2.59"
"461650","1","2.59"
"461869","1","1.1"
"462493","1","2.89"
"462503","1","2.89"
"464486","1","5.35"
"464507","1","2.73"
"464574","1","0.39"
"465483","1","3.49"
"465724","1","1.79"
"465922","1","1.19"
"465933","1","1.19"
"465944","1","2.79"
"466446","1","1.99"
"466457","1","0.52"
"466468","1","0.52"
"466479","1","0.52"
"466480","1","0.51"
"466491","1","0.51"
"466721","1","0.99"
"466732","1","0.99"
"466754","1","0.99"
"467081","1","0.5"
"468396","1","0.43"
"468406","1","0.43"
"468428","1","0.43"
"469140","1","0.44"
"469777","1","2.89"
"469788","1","3.19"
"470272","1","1.89"
"471082","1","0.69"
"471093","1","0.69"
"471125","1","0.69"
"471136","1","0.69"
"471246","1","1.79"
"471411","1","1.79"
"472089","1","2.99"
"472122","1","1.39"
"472133","1","1.29"
"472144","1","1.29"
"472979","1","11.49"
"472980","1","10.99"
"474049","1","4.2"
"474083","1","2.12"
"474148","1","4.2"
"474160","1","2.99"
"474544","1","2.75"
"474555","1","1.55"
"477095","1","0.5"
"477491","1","0.79"
"478290","1","4.2"
"479989","1","6.5"
"480044","1","3.99"
"483166","1","4.5"
"483287","1","0.35"
"483298","1","0.35"
"483308","1","0.35"
"483319","1","0.79"
"485621","1","1.19"
"486794","1","0.99"
"487285","1","0.39"
"487878","1","1.79"
"487889","1","1.79"
"487900","1","1.79"
"488392","1","0.1"
"488435","1","0.05"
"489201","1","0.35"
"489212","1","0.59"
"490201","1","0.85"
"490795","1","0.33"
"490816","1","0.33"
"490838","1","0.33"
"491572","1","1.39"
"491583","1","1.39"
"491594","1","1.39"
"491604","1","1.39"
"491615","1","1.39"
"491626","1","1.39"
"491648","1","1.89"
"491671","1","1.39"
"491693","1","1.39"
"491703","1","1.39"
"491714","1","1.39"
"491747","1","1.39"
"491770","1","1.39"
"491835","1","1.39"
"492722","1","0.89"
"493620","1","2.25"
"495965","1","5.05"
"495987","1","2.59"
"496016","1","2.45"
"496072","1","2.5"
"496083","1","2.5"
"496094","1","4.9"
"496346","1","1.75"
"497002","1","1.59"
"497453","1","1"
"497464","1","1"
"497475","1","1"
"497486","1","1"
"497497","1","1"
